id;verifiable;label;claim;evidence;evidence_article;compressed_evidence;evidence_text;annotation;gpt_label;gpt_evidence;evidence_correctness;label_correct;evidence_correct_strict;evidence_correct_medium;evidence_correct_relaxed
31606;NOT VERIFIABLE;NOT ENOUGH INFO;Holly Hunter has won a trophy.;[[[47745, None, None, None]]];Holly_Hunter;[[None]];Holly Hunter -LRB- born March 20 , 1958 -RRB- is an American actress and producer . For her performance as Ada McGrath in the 1993 film The Piano , she won the Academy Award for Best Actress , BAFTA Award for Best Actress in a Leading Role , AACTA Award for Best Actress in a Leading Role , Golden Globe Award for Best Actress -- Motion Picture Drama , and the Cannes Best Actress Award . She was also nominated for the Academy Award for Best Actress for Broadcast News -LRB- 1987 -RRB- , and the Academy Award for Best Supporting Actress for The Firm -LRB- 1993 -RRB- and Thirteen -LRB- 2003 -RRB- .   A seven-time Emmy Award nominee , Hunter won Emmys for Roe vs. Wade -LRB- 1989 -RRB- and The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom -LRB- 1993 -RRB- . She also starred in the TNT drama series Saving Grace -LRB- 2007 -- 10 -RRB- . Her other film roles include Raising Arizona -LRB- 1987 -RRB- , Always -LRB- 1989 -RRB- , Copycat -LRB- 1995 -RRB- , Crash -LRB- 1996 -RRB- , O Brother , Where Art Thou ? -LRB- 2000 -RRB- , The Incredibles -LRB- 2004 -RRB- and Batman v Superman : Dawn of Justice -LRB- 2016 -RRB- . ;"SUPPORTED
2";SUPPORTS;[1];;False;False;False;False
133324;VERIFIABLE;SUPPORTS;Oscar Robertson was born in 1938.;[[[155864, 170557, 'Oscar_Robertson', 0]]];Oscar_Robertson;[[0]];Oscar Palmer Robertson -LRB- born November 24 , 1938 -RRB- , nicknamed `` The Big O '' , is an American former National Basketball Association player who played for the Cincinnati Royals and Milwaukee Bucks . The 6 ft , 205 lb Robertson played point guard and was a 12-time All-Star , 11-time member of the All-NBA Team , and one-time winner of the MVP award in 14 professional seasons . In 1962 , he became the first of only two players in NBA history to average a triple-double for a season . In the 1970 -- 71 NBA season , he was a key player on the team that brought the Bucks their only NBA title . His playing career , especially during high school and college , was plagued by racism .   Robertson is a two-time Naismith Memorial Basketball Hall of Fame inductee , having been inducted in 1980 for his individual career , and in 2010 as a member of the 1960 United States men 's Olympic basketball team and president of the National Basketball Players Association . He also was voted one of the 50 Greatest Players in NBA History in 1996 . The United States Basketball Writers Association renamed their College Player of the Year Award the Oscar Robertson Trophy in his honor in 1998 , and he was one of five people chosen to represent the inaugural National Collegiate Basketball Hall of Fame class in 2006 . He was ranked as the 36th best American athlete of the 20th century by ESPN .   Robertson was also an integral part of Robertson v. National Basketball Ass 'n of 1970 . The landmark NBA antitrust suit , named after the then-president of the NBA Players ' Association , led to an extensive reform of the league 's strict free agency and draft rules and , subsequently , to higher salaries for all players . ;"SUPPORTED
1";SUPPORTS;[0];CORRECT;True;True;True;True
81144;NOT VERIFIABLE;NOT ENOUGH INFO;Reba McEntire sang for charity.;[[[98193, None, None, None]]];Reba_McEntire;[[None]];Reba Nell McEntire -LRB- born March 28 , 1955 -RRB- is an American country singer , songwriter , actress , and record producer . She began her career in the music industry as a high school student singing in the Kiowa High School band , on local radio shows with her siblings , and at rodeos . While a sophomore in college , she performed the National Anthem at the National Rodeo in Oklahoma City and caught the attention of country artist Red Steagall who brought her to Nashville , Tennessee . She signed a contract with Mercury Records a year later in 1975 . She released her first solo album in 1977 and released five additional studio albums under the label until 1983 .   Signing with MCA Nashville Records , McEntire took creative control over her second MCA album , My Kind of Country -LRB- 1984 -RRB- , which had a more traditional country sound and produced two number one singles : `` How Blue '' and `` Somebody Should Leave '' . The album brought her breakthrough success , bringing her a series of successful albums and number one singles in the 1980s and 1990s . McEntire has since released 29 studio albums , acquired 40 number one singles , 16 number one albums , and 28 albums have been certified gold , platinum or multi-platinum in sales by the Recording Industry Association of America . She has sometimes been referred to as `` The Queen of Country '' . and she is one of the best-selling artists of all time , having sold more than 85 million records worldwide .   In the early 1990s , McEntire branched into film starting with 1990 's Tremors . She has since starred in the Broadway revival of Annie Get Your Gun and in her television sitcom , Reba -LRB- 2001 -- 07 -RRB- for which she was nominated for the Golden Globe Award for Best Performance by an Actress in a Television Series -- Musical or Comedy . ;NOT ENOUGH INFO;NOT ENOUGH INFO;[];;True;False;False;False
56937;NOT VERIFIABLE;NOT ENOUGH INFO;Susan Atkins played a concert on May 7, 1948.;[[[73281, None, None, None]]];Susan_Atkins;[[None]];Susan Denise Atkins -LRB- May 7 , 1948 September 24 , 2009 -RRB- was a convicted American murderer who was a member of Charles Manson 's `` Family '' . Manson and his followers committed a series of nine murders at four locations in California , over a period of five weeks in the summer of 1969 . Known within the Manson family as Sadie Mae Glutz or Sexy Sadie , Atkins was convicted for her participation in eight of these killings , including the most notorious , the `` Tate/LaBianca '' murders . She was sentenced to death , which was subsequently commuted to life in prison . Atkins was incarcerated from October 1 , 1969 , until her death -- a period exactly one week short of 40 years . At the time of her death , Atkins was California 's longest-serving female inmate . ;NOT ENOUGH INFO;NOT ENOUGH INFO;[];;True;False;False;False
40510;NOT VERIFIABLE;NOT ENOUGH INFO;William Shatner hosted the reality-based television series The Outer Limits.;[[[22495, None, None, None], [299518, None, None, None]]];William_Shatner;[[None, None]];William Shatner -LRB- born March 22 , 1931 -RRB- is a Canadian actor , author , producer , and director . In his seven decades of television , Shatner became a cultural icon for his portrayal of James T. Kirk , Captain of the USS Enterprise , in the Star Trek franchise . He has written a series of books chronicling his experiences playing Captain Kirk and being a part of Star Trek , and has co-written several novels set in the Star Trek universe . He has written a series of science fiction novels called TekWar , which were adapted for television .   Shatner also played the eponymous veteran police sergeant in T. J. Hooker -LRB- 1982 -- 86 -RRB- and hosted the reality-based television series , Rescue 911 -LRB- 1989 -- 96 -RRB- , which won a People 's Choice Award for the Favorite New TV Dramatic Series . Shatner also appeared in the NBC series , 3rd Rock from the Sun in seasons 4 and 5 as the role of the `` Big Giant Head '' whom the alien characters of the Series reported to . From 2004 until 2008 , he starred as attorney Denny Crane in the final season of the legal drama The Practice and its spinoff series Boston Legal '' , a role that earned him two Emmy Awards .   Shatner has also worked as a musician , an author , a director , and a celebrity pitchman . ;"SUPPORTED
5";SUPPORTS;[4];;False;False;False;False
192352;VERIFIABLE;REFUTES;Courtney Love refused to appear in Man on the Moon (1999).;[[[225000, 229733, 'Courtney_Love', 14]]];Courtney_Love;[[14]];"Courtney Michelle Love -LRB- born Courtney Michelle Harrison ; born July 9 , 1964 -RRB- is an American singer , actress , writer , and visual artist . Prolific in the punk and grunge scenes of the 1990s , Love has enjoyed a career that spans four decades . She rose to prominence as the frontwoman of the alternative rock band Hole , which she formed in 1989 . Love has drawn public attention for her uninhibited live performances and confrontational lyrics , as well as her highly publicized personal life following her marriage to Kurt Cobain .   The daughter of Hank Harrison and psychotherapist Linda Carroll , Love had an itinerant early life . She spent her formative years in San Francisco and Portland , Oregon , where she was in a series of short-lived bands before being cast in two films by British director Alex Cox . After forming Hole in 1989 , she received substantial attention from underground rock press for the group 's debut album , produced by Kim Gordon . Hole 's second release , Live Through This -LRB- 1994 -RRB- , gave her high-profile renown with critical accolades and multi-platinum sales . In 1995 , Love returned to acting , earning a Golden Globe Award nomination for her performance as Althea Leasure in Miloš Forman 's The People vs. Larry Flynt -LRB- 1996 -RRB- , which established her as a mainstream actress . The following year , she saw further mainstream success with the release of Hole 's third album , Celebrity Skin -LRB- 1998 -RRB- , which was nominated for multiple Grammy Awards .   Love continued to work as an actress into the early 2000s , appearing in big-budget pictures such as Man on the Moon -LRB- 1999 -RRB- and Trapped -LRB- 2002 -RRB- , before releasing her first solo album , America 's Sweetheart , in 2004 . The next few years were marked by publicity surrounding Love 's legal troubles and drug addiction , which resulted in a mandatory lockdown rehabilitation sentence in 2005 while she was in the process of writing a second planned solo album . That project became Nobody 's Daughter , which was released in 2010 as a Hole album but without any other members of the original lineup . Between 2014 and 2015 , she released two solo singles and returned to acting in the network series Sons of Anarchy and Empire .   Love has also had endeavors in writing , co-creating and co-authoring three volumes of a manga , Princess Ai , between 2004 and 2006 , as well as a memoir , Dirty Blonde : The Diaries of Courtney Love -LRB- 2006 -RRB- . In 2012 , she premiered an exhibit of mixed media visual art titled And She 's Not Even Pretty . ";"SUPPORTED
11";SUPPORTS;[10];DISJOINT;False;False;False;False
5604;VERIFIABLE;SUPPORTS;Adolf Hitler oversaw the genocide of at least 5.5 million Jews and millions of other victims.;[[[22239, 27363, 'Adolf_Hitler', 29]]];Adolf_Hitler;[[29]];"Adolf Hitler -LRB- -LSB- ˈadɔlf ˈhɪtlɐ -RSB- ; 20 April 1889 -- 30 April 1945 -RRB- was a German politician who was the leader of the Nazi Party -LRB- Nationalsozialistische Deutsche Arbeiterpartei ; NSDAP -RRB- , Chancellor of Germany from 1933 to 1945 , and Führer -LRB- `` Leader '' -RRB- of Nazi Germany from 1934 to 1945 . As dictator of the German Reich , he initiated World War II in Europe with the invasion of Poland in September 1939 , and was central to the Holocaust .   Hitler was born in Austria , then part of Austria-Hungary , and raised near Linz . He moved to Germany in 1913 and was decorated during his service in the German Army in World War I . He joined the German Workers ' Party -LRB- DAP -RRB- , the precursor of the NSDAP , in 1919 and became leader of the NSDAP in 1921 . In 1923 he attempted a coup in Munich to seize power . The failed coup resulted in Hitler 's imprisonment , during which he dictated the first volume of his autobiography and political manifesto Mein Kampf -LRB- `` My Struggle '' -RRB- . After his release in 1924 , Hitler gained popular support by attacking the Treaty of Versailles and promoting Pan-Germanism , anti-semitism , and anti-communism with charismatic oratory and Nazi propaganda . Hitler frequently denounced international capitalism and communism as being part of a Jewish conspiracy .   By 1933 , the Nazi Party was the largest elected party in the German Reichstag , which led to Hitler 's appointment as Chancellor on 30 January 1933 . Following fresh elections won by his coalition , the Reichstag passed the Enabling Act , which began the process of transforming the Weimar Republic into Nazi Germany , a one-party dictatorship based on the totalitarian and autocratic ideology of National Socialism . Hitler aimed to eliminate Jews from Germany and establish a New Order to counter what he saw as the injustice of the post-World War I international order dominated by Britain and France . His first six years in power resulted in rapid economic recovery from the Great Depression , the effective abandonment of restrictions imposed on Germany after World War I , and the annexation of territories that were home to millions of ethnic Germans -- actions which gave him significant popular support .   Hitler sought Lebensraum -LRB- `` living space '' -RRB- for the German people in Eastern Europe . His aggressive foreign policy is considered to be the primary cause of the outbreak of World War II in Europe . He directed large-scale rearmament and on 1 September 1939 invaded Poland , resulting in British and French declarations of war on Germany . In June 1941 , Hitler ordered an invasion of the Soviet Union . By the end of 1941 German forces and the European Axis powers occupied most of Europe and North Africa . Failure to defeat the Soviets and the entry of the United States into the war forced Germany onto the defensive and it suffered a series of escalating defeats . In the final days of the war , during the Battle of Berlin in 1945 , Hitler married his long-time lover , Eva Braun . On 30 April 1945 , less than two days later , the two killed themselves to avoid capture by the Red Army , and their corpses were burned .   Under Hitler 's leadership and racially motivated ideology , the Nazi regime was responsible for the genocide of at least 5.5 million Jews and millions of other victims whom he and his followers deemed Untermenschen -LRB- `` sub-humans '' -RRB- and socially undesirable . Hitler and the Nazi regime were also responsible for the killing of an estimated 19.3 million civilians and prisoners of war . In addition , 29 million soldiers and civilians died as a result of military action in the European Theatre of World War II . The number of civilians killed during the Second World War was unprecedented in warfare , and constitutes the deadliest conflict in human history . ";"SUPPORTED
22";SUPPORTS;[21];DISJOINT;True;False;False;False
4324;NOT VERIFIABLE;NOT ENOUGH INFO;Ten videos were released to expand on Prometheus's universe.;[[[20596, None, None, None]]];Prometheus;[[None]];"Prometheus -LRB- -LSB- prəˈmiːθiəs -RSB- ; Προμηθεύς -LSB- promɛːtʰeús -RSB- , meaning `` forethought '' -RRB- is a Titan in Greek mythology , best known as the deity in Greek mythology who was the creator of mankind and its greatest benefactor , who stole fire from Mount Olympus and gave it to mankind .   Ancient myths and legends relate at least four versions of the narratives describing Prometheus , his exploits with Zeus , and his eternal punishment as also inflicted by Zeus . There is a single somewhat comprehensive version of the birth of Prometheus and several variant versions of his subjection to eternal suffering at the will of Zeus .   The most significant narratives of his origin appear in the Theogony of Hesiod which relates Prometheus as being the son of the Titan Iapetus by Clymene , one of the Oceanids . Hesiod then presents Prometheus as subsequently being a lowly challenger to Zeus 's omnipotence . In the trick at Mecone , Prometheus tricks Zeus into eternally claiming the inedible parts of cows and bulls for the sacrificial ceremonies of the gods , while conceding the nourishing parts to humans for the eternal benefit of humankind . The two remaining central episodes regarding Prometheus as written by Hesiod include his theft of fire from Olympus for the benefit of humanity against the will of Zeus , and the eternal punishment which Prometheus would endure for these acts as inflicted upon him by the judgment of Zeus .   For the greater part , the pre-Athenian ancient sources are selective in which of these narrative elements they chose by their own preferences to honor and support , and which ones they chose to exclude . The specific combinations of these relatively independent narrative elements by individual ancient authors -LRB- Hesiod , Homer , Pindar , Pythagoras -RRB- , and specific exclusions among them , are often influenced by the particular needs and purposes of the larger myths and legends which they are depicting . Each individual ancient author selectively preferred certain crucial stories depicting Prometheus over others .   The intensive growth and expansion of Greek literature and philosophy in the classical fourth and fifth century Athenian period would greatly affect both the interpretation and influence which the myth of Prometheus would exert upon Athenian culture . This influence would extend beyond its dramatic and tragic form in the Athenian period , and influence large portions of the greater Western literary tradition which would follow it for over two millennia . All three of the major Athenian tragedians , Aeschylus , Sophocles and Euripides , were affected by the myth of Prometheus . The surviving plays and fragments of Aeschylus regarding Prometheus retain a special place of prominence within modern scholarship for their having survived the ravages of time . The majority of plays written by Aeschylus , Sophocles and Euripides have been lost to literary antiquity , including many of their writings on Prometheus .   Both during and after the Renaissance , Prometheus would again emerge as a major inspiration for his literary and poetic significance as a symbol and archetype to inspire new generations of artists , sculptors , poets , musicians , novelists , playwrights , inventors , technologists , engineers , and film-makers . His literary and mythological personage remains prominently portrayed in contemporary sculpture , art and literary expression including Mary Shelley 's portrayal of Frankenstein as The Modern Prometheus . The influence of the myth of Prometheus extends well into the 20th and 21st century as well . ";"SUPPORTED
6, 7";SUPPORTS;[5, 6];;False;False;False;False
168352;VERIFIABLE;SUPPORTS;Ederson Moraes plays as a goalie for Manchester City.;[[[193864, 204304, 'Ederson_Moraes', 0]]];Ederson_Moraes;[[0]];Ederson Santana de Moraes -LRB- born 17 August 1993 -RRB- , known simply as Ederson , is a Brazilian professional footballer who plays as a goalkeeper for English club Manchester City . ;"SUPPORTED
1";SUPPORTS;[0];CORRECT;True;True;True;True
111152;NOT VERIFIABLE;NOT ENOUGH INFO;Emily Blunt is from Bath.;[[[130531, None, None, None]]];Emily_Blunt;[[None]];Emily Olivia Leah Blunt -LRB- born 23 February 1983 -RRB- is a British film and stage actress . Blunt made her professional debut in a 2001 London production of the play The Royal Family . Two years later , she appeared on screen for the first time in the 2003 television film Boudica -LRB- Warrior Queen -RRB- . Her performance in the 2004 drama film My Summer of Love garnered her the Evening Standard British Film Award for Most Promising Newcomer .   For her performance in the TV film Gideon 's Daughter -LRB- 2006 -RRB- she received a Golden Globe Award for Best Supporting Actress . The same year , she received a Golden Globe nomination for Best Supporting Actress -- Motion Picture and a nomination for a BAFTA Award for Best Actress in a Supporting Role for The Devil Wears Prada .   In 2009 , Blunt received the BAFTA Britannia Award for British Artist of the Year . She received more acclaim for portraying Queen Victoria in The Young Victoria -LRB- 2009 -RRB- , receiving a nomination for the Golden Globe Award for Best Actress in a Motion Picture -- Drama . 2009 also saw Blunt appear in the crime caper comedy Wild Target with Bill Nighy and Rupert Grint . She found commercial success for roles in the romantic science-fiction thriller The Adjustment Bureau -LRB- 2011 -RRB- , the science-fiction action thriller Looper -LRB- 2012 -RRB- , and the science-fiction military film Edge of Tomorrow -LRB- 2014 -RRB- .   Blunt received her fourth and fifth Golden Globe Award nominations for her roles in the romantic comedy-drama Salmon Fishing in the Yemen -LRB- 2012 -RRB- and the musical fantasy Into the Woods -LRB- 2014 -RRB- in the Best Actress -- Motion Picture Comedy or Musical category . In 2016 , Blunt starred in the fantasy-action film The Huntsman : Winter 's War and The Girl on the Train , the latter based on the international best-selling novel of the same name , and a performance that earned her nominations for the BAFTA Award for Best Actress in a Leading Role and the Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Leading Role . ;"REFUTED
1";REFUTES;[1];;False;False;False;False
